Work no.,Title,Author,Genre,PDF,Unicode
1,திருக்குறள்,திருவள்ளுவர்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,pm0001.pdf  pm0001_01.pdf,pmuni0001.html
2,ஆத்திசூடி,ஒளவையார்,நீதிநெறி நூல்கள்,pm0002.pdf,pmuni0002.html
2,கொன்றை வேந்தன்,ஒளவையார்,நீதிநெறி நூல்கள்,pm0002.pdf,pmuni0002.html
2,நல்வழி,ஒளவையார்,நீதிநெறி நூல்கள்,pm0002.pdf,pmuni0002.html
2,மூதுரை,ஒளவையார்,நீதிநெறி நூல்கள்,pm0002.pdf,pmuni0002.html
3,திருவாசகம் - 1 (1-10),மாணிக்க வாசகர்,சமயம் - சைவம்,pm0003.pdf,pmuni0003_01.html  pmuni0003_02.html
3,திருவாசகம் - 2 (11-51),மாணிக்க வாசகர்,சமயம் - சைவம்,pm0003.pdf,pmuni0003_01.html  pmuni0003_02.html
4,திருமந்திரம் (தந்திரங்கள் - 1; 2),திருமூலர்,சமயம் - சைவம்,pm0004.pdf,pmuni0004.html
5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பல்லாண்டு,பெரியாழ்வார்,சமயம் - வைணவம்,pm0005_01.pdf,pmuni0005_01.html
5,நாலாயிர திவ்ய பிரபந்தம் / திருமொழி,பெரியாழ்வார்,சமயம் - வைணவம்,pm0005_01.pdf,pmuni0005_01.html
5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பாவை,ஆண்டாள்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
5,நாலாயிர திவ்ய பிரபந்தம் / நாச்சியார் திருமொழி,ஆண்டாள்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
5,நாலாயிர திவ்ய பிரபந்தம் / பெருமாள் திருமொழி,குலசேகரப் பெருமாள்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
5,நாலாயிர திவ்ய பிரபந்தம் / திருச்சந்த விருத்தம்,திருமழிசைபிரான்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பள்ளியெழுச்சி,தொண்டரடிப்பொடி ஆழ்வார்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
5,நாலாயிர திவ்ய பிரபந்தம் / அமலநாதிபிரான்,திருப்பாணாழ்வார்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
5,நாலாயிர திவ்ய பிரபந்தம் / கண்ணி நூற்றைம்பது,மதுர கவிராயர்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
5,நாலாயிர திவ்ய பிரபந்தம் / திருமாலை,தொண்டரடிப்பொடி ஆழ்வார்,சமயம் - வைணவம்,pm0005_02.pdf,pmuni0005_02.html
6,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமொழி,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,pm0006_01.pdf  pm0006_02.pdf,pmuni0006_01.html  pmuni0006_02.html
7,நாலாயிர திவ்ய பிரபந்தம் / சிறிய திருமுறை,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருக்குறுந்தாண்டகம்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருநெடுந்தாண்டகம்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /1,பொய்கையாழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /2,பூதத்தாழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /3,பேயாழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருவாசிரியம்,நம்மாழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருவிருத்தம்,நம்மாழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / திருவெழுகூற்றிருக்கை,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / நான்முகன் திருவந்தாதி,திருமழிசை ஆழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமடல்,திருமங்கை ஆழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
7,நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருவந்தாதி,நம்மாழ்வார்,சமயம் - வைணவம்,pm0007.pdf,pmuni0007.html
8,இராமானுஜ நூற்றந்தாதி,திருவரங்கத்து அமுதனார்,சமயம் - வைணவம்,pm0008.pdf,pmuni0008_01.html  pmuni0008_02.html
8,நாலாயிர திவ்ய பிரபந்தம் / திருவாய்மொழி,நம்மாழ்வார்,சமயம் - வைணவம்,pm0008.pdf,pmuni0008_01.html  pmuni0008_02.html
8,நாலாயிர திவ்ய பிரபந்தம் /4,பல ஆசிரியர்கள்,சமயம் - வைணவம்,pm0008.pdf,pmuni0008_01.html  pmuni0008_02.html
9,திருமந்திரம் - 2 (3-6 தந்திரங்கள்),திருமூலர்,சமயம் - சைவம்,pm0009.pdf,pmuni0009_01.html pmuni0009_02.html pmuni0009_03.html
9,திருமுறை 10 /திருமந்திரம்,திருமூலர்,சமயம் - சைவம்,pm0009.pdf,pmuni0009_01.html  pmuni0009_02.html
10,திருமந்திரம் - 3 (7-9 தந்திரங்கள்),திருமூலர்,சமயம் - சைவம்,pm0010.pdf,pmuni0010_01.html  pmuni0010_02.html  pmuni0010_03.html
10,திருமுறை 10 /திருமந்திரம்,திருமூலர்,சமயம் - சைவம்,pm0010.pdf,pmuni0010_01.html  pmuni0010_02.html  pmuni0010_03.html
11,தண்ணீர் தேசம்,வைரமுத்து,கவிதைத் தொகுப்பு,pm0011.pdf,pmuni0011_01.html  pmuni0011_02.html
12,தேசிய கீதங்கள்,சி. சுப்ரமணிய பாரதியார்,கவிதைத் தொகுப்பு,pm0012_01.pdf,pmuni0012_01.html
12,தெய்வப் பாடல்கள்,சி. சுப்ரமணிய பாரதியார்,கவிதைத் தொகுப்பு,pm0012_02.pdf,pmuni0012_02.html
13,தேசிக பிரபந்தம்,வேதாந்த தேசிகர்,சமயம் - வைணவம்,pm0013.pdf,pmuni0013.html
14,பகவத் கீதை /தமிழாக்கம்; விளக்கவுரை,சி. சுப்ரமணிய பாரதியார்,நீதிநெறி நூல்கள்,pm0014.pdf,pmuni0014.html
15,நளவெண்பா,புகழேந்திப் புலவர்,இலக்கியம் - வெண்பா,pm0015.pdf,pmuni0015.html
16,நாலடியார்,பல ஆசிரியர்கள்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,pm0016.pdf,pmuni0016.html
17,திருக்குறள் /ஆங்கில மொழியாக்கம் (tirukkural - English translation),சுத்தானந்த பாரதியார்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,pm0017.pdf,pmuni0017.html
18,திருவருட்பா /திருமுறை 1 (பாடல்கள் 1-570),இராமலிங்க அடிகள்,சமயம் - சைவம்,pm0018.pdf,pmuni0018_01.html  pmuni0018_02.html
18,திருவருட்பா /திருமுறை 2.1 (பாடல்கள்571-1006 ),இராமலிங்க அடிகள்,சமயம் - சைவம்,pm0018.pdf,pmuni0018_01.html  pmuni0018_02.html
19,விவிலியம் /புதிய ஏற்பாடு /மத்தேயு,விவிலியம்,சமயம் – கிருத்துவம்,pm0019_01.pdf,pmuni0019_01.html
